実施年,地域規模,学校番号,性別,正答数_国,正答数_数,正誤_国_01,正誤_国_02,正誤_国_03,正誤_国_04,正誤_国_05,正誤_国_06,正誤_国_07,正誤_国_08,正誤_国_09,正誤_国_10,正誤_国_11,正誤_国_12,正誤_国_13,正誤_国_14,正誤_国_15,正誤_数_01,正誤_数_02,正誤_数_03,正誤_数_04,正誤_数_05,正誤_数_06,正誤_数_07,正誤_数_08,正誤_数_09,正誤_数_10,正誤_数_11,正誤_数_12,正誤_数_13,正誤_数_14,正誤_数_15,正誤_数_16,生徒質問回答_001,生徒質問回答_002,生徒質問回答_003,生徒質問回答_004,生徒質問回答_005,生徒質問回答_016,生徒質問回答_017,生徒質問回答_018,生徒質問回答_019,生徒質問回答_023,生徒質問回答_024,生徒質問回答_025,生徒質問回答_036,生徒質問回答_037,生徒質問回答_048,生徒質問回答_049,生徒質問回答_050,生徒質問回答_056,生徒質問回答_057,生徒質問回答_058
2024,3,207717,1,11,12,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,3,5,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
2024,3,200218,2,13,13,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,5,4,2,1,1,1,2,4,1,1,1,1,1,2,2,1,2
2024,2,202258,2,11,14,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,4,6,2,2,2,1,1,4,2,1,2,1,1,1,3,1,2
2024,3,208083,1,12,14,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,2,4,5,3,1,2,1,3,4,2,1,2,3,1,2,4,3,2
2024,1,201561,1,11,16,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,2,1,1,3,4,1,1,1,3,1,2,1,1,1
2024,3,207306,2,13,15,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,3,4,2,2,2,1,1,1,4,1,3
2024,4,206074,2,14,15,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,5,6,2,1,3,3,3,4,1,2,1,3,3,3,1,2,1
2024,3,203950,1,12,14,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,4,4,3,1,4,4,3,4,4,4,4,1,1,1,1,1,1
2024,3,201578,1,14,16,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,1,2,1,2,1,4,2,2,3,1,1,1,1,1,1
2024,1,209099,1,11,14,1,2,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,6,6,1,2,2,2,1,4,1,2,4,2,2,2,1,2,1
2024,3,200524,1,12,12,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,3,6,3,3,2,1,3,4,2,2,1,2,1,1,3,1,2
2024,2,207721,1,14,14,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,4,6,2,2,2,2,1,3,2,1,2,3,2,3,2,1,2
2024,2,202269,1,12,13,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,4,5,2,3,2,3,2,1,2,3,3,3,2,2,2,1,1
2024,4,204491,1,13,12,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,3,1,4,2,1,1,2,1,2,3,2,2,2,1,1,2,2,1,2
2024,4,205334,1,12,14,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,3,1,4,5,1,2,1,1,1,4,2,2,2,1,1,1,3,1,2
2024,2,202635,1,13,12,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,6,6,4,1,1,2,1,3,3,2,2,1,1,1,4,1,2
2024,3,200237,1,13,14,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,4,2,2,5,6,3,3,2,1,1,4,2,4,4,2,2,2,2,1,4
2024,4,201790,2,13,15,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,4,3,1,2,1,1,1,4,1,1,1,1,1,1,4,4,4
2024,3,206555,1,14,15,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,4,4,2,3,2,2,2,4,3,3,2,2,1,1,3,1,2
2024,1,201448,1,14,11,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,2,2,5,6,2,2,2,2,1,4,1,2,3,2,1,1,1,2,2
2024,2,201484,1,12,11,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,6,4,1,1,1,1,2,4,1,1,2,2,1,2,1,1,1
2024,1,209096,1,13,14,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,2,2,4,3,4,1,2,3,1,4,3,1,2,1,1,1,4,1,2
2024,3,205356,1,15,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,4,6,1,3,2,2,2,4,3,2,2,3,1,2,2,1,1
2024,1,204164,1,14,13,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,2,1,5,5,2,2,1,1,3,1,1,2,1,4,1,3,2,1,1
2024,4,208378,1,12,14,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,5,6,4,1,2,3,3,4,4,1,1,2,1,2,1,1,3
2024,3,200216,2,12,15,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4,1,5,5,1,1,1,2,2,4,2,1,2,2,1,1,3,2,1
2024,2,203305,1,11,16,1,1,2,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,5,1,4,1,2,1,4,3,2,2,4,4,1,3,2,1
2024,1,200594,1,11,13,1,1,2,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,1,5,6,2,3,1,2,2,4,1,2,2,3,1,1,1,1,1
2024,1,207327,1,11,13,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,2,3,4,2,2,2,2,2,3,2,2,1,2,2,2,1,1,1
2024,3,208274,1,14,14,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,4,3,1,1,1,1,3,4,2,1,1,1,1,2,1,1,1
2024,1,203913,2,13,15,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,4,2,2,1,1,2,2,4,2,1,1,1,1,1,1,1,1
2024,2,201660,2,10,10,2,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,2,1,1,2,1,2,2,2,2,2,5,5,3,2,2,3,2,4,3,2,2,2,1,2,1,1,1
2024,2,208898,2,14,12,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,2,1,6,3,3,1,2,2,3,4,2,1,1,1,1,1,1,1,1
2024,2,207278,2,15,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,6,4,4,3,1,2,2,4,3,3,3,4,2,3,4,1,2
2024,3,208422,1,10,11,1,1,1,2,2,1,1,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,2,1,2,1,5,4,1,2,1,1,3,4,1,1,1,2,1,2,1,1,1
2024,2,204070,2,13,15,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,2,1,3,1,1,1,4,2,2,2,2,2,2,2,1,2
2024,1,201117,1,12,9,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,2,1,2,2,1,1,2,5,4,1,2,1,2,3,4,4,3,1,4,3,2,2,1,1
2024,3,203380,1,12,14,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,6,3,1,2,1,2,2,4,2,2,2,3,2,2,1,1,1
2024,3,204566,2,14,13,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,4,3,1,1,2,1,2,4,2,1,1,1,1,1,1,1,1
2024,3,207615,2,12,14,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,4,1,2,1,2,2,1,4,2,1,1,3,1,2,1,1,1
2024,1,200821,1,14,12,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,5,3,2,2,1,1,1,4,2,1,2,2,1,1,3,2,2
2024,3,207615,2,13,15,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,5,3,2,2,2,2,3,4,2,1,2,2,1,1,2,2,1
2024,3,201715,1,13,14,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,3,3,1,1,2,1,3,4,4,1,1,1,1,2,1,1,2
2024,3,204854,1,15,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,2,2,4,5,1,1,1,2,3,2,2,1,1,3,1,2,1,1,1
2024,1,200659,2,13,13,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,5,4,1,2,1,1,2,4,2,2,2,1,1,1,2,1,2
2024,1,208454,2,14,14,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,2,5,5,1,2,1,1,1,4,3,2,2,2,1,2,4,3,2
2024,1,206748,2,10,13,2,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,2,5,4,1,1,1,2,2,4,2,1,1,2,1,1,1,1,1
2024,1,204399,2,14,16,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,2,3,2,2,2,4,3,2,2,1,1,1,4,2,1
2024,3,204340,2,11,16,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,6,6,2,1,2,2,2,4,3,2,3,2,2,2,2,2,2
2024,3,205087,1,13,14,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,4,5,2,3,2,2,2,4,2,2,1,1,2,2,3,3,3
2024,3,202913,2,11,10,1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,2,2,1,2,1,1,2,1,1,1,4,3,1,1,1,1,3,3,2,1,2,1,1,1,1,1,1
2024,3,207921,1,11,13,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,5,3,2,2,2,2,3,3,2,2,1,2,2,2,1,1,1
2024,3,208697,1,11,11,1,1,2,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,5,6,1,2,1,1,3,4,1,1,1,1,1,1,1,1,1
2024,3,204950,1,12,14,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,4,1,1,1,3,1,1,1,1,1
2024,2,208814,2,14,9,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,2,2,2,1,1,1,5,4,1,1,1,2,1,4,4,2,2,1,3,1,3,1,1
2024,3,207306,2,14,11,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,2,1,2,1,1,2,1,2,1,5,5,1,1,1,2,3,4,2,1,1,1,1,1,2,2,1
2024,3,200762,2,13,12,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,2,5,6,2,2,2,2,2,4,2,2,3,3,2,2,2,2,2
2024,3,200740,2,14,10,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,2,2,1,2,2,6,3,2,2,1,1,3,4,1,2,2,2,1,2,1,1,1
2024,1,205507,1,13,16,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,3,4,2,1,1,1,1,1,3,2,3
2024,2,201977,2,12,14,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,5,4,2,3,1,3,2,4,2,2,1,2,1,2,3,1,2
2024,1,201800,2,13,12,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,1,1,2,1,4,4,1,2,1,1,3,4,2,1,1,1,1,1,1,1,1
2024,1,205224,1,14,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,2,2,5,6,2,2,2,2,3,2,2,1,2,2,1,1,1,1,1
2024,3,208801,2,14,14,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,5,5,2,2,2,2,1,3,2,1,2,2,2,2,1,1,1
2024,3,206479,2,13,14,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,6,2,1,2,1,1,1,4,2,2,2,3,2,3,1,2,1
2024,2,207849,1,15,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,2,5,6,1,4,1,2,1,3,1,2,2,2,1,2,2,1,2
2024,2,201514,1,10,14,1,1,1,1,1,1,1,2,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,5,4,1,1,2,1,3,2,3,1,1,2,1,2,1,2,1
2024,1,203353,2,13,13,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,6,4,2,2,1,2,2,4,2,2,2,3,3,2,3,2,2
2024,1,201117,2,14,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,2,6,5,2,3,1,1,2,4,3,2,3,2,1,2,1,1,2
2024,2,203227,1,13,11,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,1,2,2,4,6,1,2,1,2,3,1,1,2,1,4,3,3,2,1,2
2024,2,206513,2,13,13,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,6,4,1,1,1,1,2,4,1,2,1,2,1,2,1,1,1
2024,2,202563,2,14,12,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,2,1,1,1,5,5,1,3,1,1,2,4,3,1,2,3,2,3,1,1,1
2024,1,209188,1,13,10,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,2,2,1,2,1,4,3,1,2,2,1,3,1,2,2,2,3,2,2,1,1,1
2024,3,202295,1,13,14,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,4,4,1,2,1,2,2,3,1,2,2,2,2,2,2,2,2
2024,4,202337,1,13,13,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,3,4,5,5,3,2,3,1,2,4,1,2,2,3,1,3,1,1,2
2024,1,204054,1,14,14,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,3,2,4,3,3,1,2,1,2,3,2,2,1,3,1,1,2,1,1
2024,1,203793,1,11,13,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,3,2,3,4,1,2,1,1,1,4,2,1,2,3,1,2,1,1,1
2024,1,208216,1,13,10,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,2,1,1,2,1,2,1,2,1,1,2,1,4,3,2,2,2,2,2,4,2,2,3,2,1,2,1,1,1
2024,1,203262,1,12,14,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,6,4,1,1,1,1,2,4,3,2,2,3,1,2,3,1,1
2024,3,202995,1,13,16,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,5,2,1,3,2,2,4,1,2,2,1,1,1,2,1,2
2024,2,201754,1,11,14,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,3,3,4,4,2,3,2,2,3,4,2,2,3,3,2,3,1,2,1
2024,2,205226,1,13,13,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,1,1,2,1,2,2,4,2,1,1,2,1,1,2,1,2
2024,3,202554,2,12,15,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,4,4,2,3,2,2,1,4,3,1,2,3,1,2,1,2,1
2024,3,208855,2,11,15,1,1,1,1,2,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,5,6,2,2,2,1,2,3,1,1,1,1,1,1,1,1,1
2024,2,204720,1,10,12,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,2,1,2,1,1,2,2,5,4,2,2,2,2,2,4,3,1,1,2,1,1,1,1,1
2024,4,204007,1,13,12,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,2,3,2,5,1,2,3,3,2,1,4,3,3,3,1,2,1,4,4,3
2024,2,202321,1,13,13,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,4,6,1,1,1,1,2,4,2,1,3,2,1,1,1,1,1
